"comname","est_year","COGy","COGx"
"fawn cusk-eel",1974,40.0304492239524,-70.6044034862288
"fawn cusk-eel",1975,40.3456449524586,-69.1811924760359
"fawn cusk-eel",1976,39.8558741152426,-70.9422473193699
"fawn cusk-eel",1977,40.0836450886646,-70.0578872330614
"fawn cusk-eel",1978,39.2641763350524,-72.2370572943656
"fawn cusk-eel",1979,39.5572995588715,-71.7144278233117
"fawn cusk-eel",1980,39.8967655855928,-70.9765367640228
"fawn cusk-eel",1981,39.9490428421105,-70.3029044999225
"fawn cusk-eel",1982,39.7589332950709,-71.7857871089921
"fawn cusk-eel",1983,39.5174428627681,-71.9501391116152
"fawn cusk-eel",1984,39.3957374973438,-71.4630383350187
"fawn cusk-eel",1985,39.9890686496661,-70.8932182832394
"fawn cusk-eel",1986,40.0454786204227,-70.5670383149882
"fawn cusk-eel",1987,40.0715235842197,-70.7201251206706
"fawn cusk-eel",1988,39.8256914179914,-71.5128512225166
"fawn cusk-eel",1989,39.9797315642831,-70.9466435178581
"fawn cusk-eel",1990,40.1606581360264,-69.8403228641978
"fawn cusk-eel",1991,39.606322971985,-71.1602305554989
"fawn cusk-eel",1992,39.9823024006014,-70.0016743312614
"fawn cusk-eel",1993,40.0714005908353,-70.6200474269513
"fawn cusk-eel",1994,39.4271984503217,-71.144477244479
"fawn cusk-eel",1995,39.7290304620998,-70.9107764300371
"fawn cusk-eel",1996,39.8563830128366,-71.0654247251459
"fawn cusk-eel",1997,39.6178688117772,-70.7498948767386
"fawn cusk-eel",1998,39.8760248244825,-69.9567916253761
"fawn cusk-eel",1999,38.8718051735472,-71.9410733835169
"fawn cusk-eel",2000,40.4612957693135,-68.9815057110568
"fawn cusk-eel",2001,40.0617266503726,-71.1638157251901
"fawn cusk-eel",2002,39.5437776880077,-70.9933453839053
"fawn cusk-eel",2003,39.8075283612871,-71.6824137039581
"fawn cusk-eel",2004,39.1044150677158,-72.2364166303891
"fawn cusk-eel",2005,38.8145326638907,-72.5841139936062
"fawn cusk-eel",2006,39.5166840245749,-71.7130861228435
"fawn cusk-eel",2007,39.6509858938844,-71.1631334661447
"fawn cusk-eel",2008,39.8388035523019,-70.640256496476
"fawn cusk-eel",2009,39.6603670174859,-70.8008579685045
"fawn cusk-eel",2010,39.8795312793795,-70.5326556615916
"fawn cusk-eel",2011,39.7366491670369,-70.4547042033855
"fawn cusk-eel",2012,39.8510188763592,-70.8795002948755
"fawn cusk-eel",2013,39.4295290071793,-71.2950140215206
"fawn cusk-eel",2014,39.7234191606444,-70.8258734825722
"fawn cusk-eel",2015,39.5114604195331,-71.4335290120294
"fawn cusk-eel",2016,39.2695800970867,-71.399376787561
"fawn cusk-eel",2017,39.8901428647654,-69.4395469840908
"fawn cusk-eel",2018,39.6056709151772,-71.3717425484173
"fawn cusk-eel",2019,39.4828668714932,-71.8886768828522
"fourspot flounder",1970,39.9892896505864,-70.7713146076362
"fourspot flounder",1971,39.9514834627787,-71.6007059599577
"fourspot flounder",1972,39.9786791391177,-70.9303676788951
"fourspot flounder",1973,39.9273208960349,-71.5571328583696
"fourspot flounder",1974,40.2548747537491,-69.9981036518322
"fourspot flounder",1975,40.1149562420342,-70.4993314489512
"fourspot flounder",1976,40.2723559068123,-70.7685972861198
"fourspot flounder",1977,40.0051326609751,-71.04750092983
"fourspot flounder",1978,39.7540432503381,-71.6004254266026
"fourspot flounder",1979,40.469095144747,-70.8847068238004
"fourspot flounder",1980,40.0966110046155,-70.7547191310404
"fourspot flounder",1981,39.9965845372907,-70.9997400219295
"fourspot flounder",1982,39.9800033079576,-71.1098906631463
"fourspot flounder",1983,40.2018644341929,-70.6413909123314
"fourspot flounder",1984,40.2652125973698,-71.2263045849692
"fourspot flounder",1985,40.2038503491857,-70.3105306096583
"fourspot flounder",1986,40.2113124616587,-70.9319994469088
"fourspot flounder",1987,40.3042170133083,-70.8997180910041
"fourspot flounder",1988,40.0115166292359,-71.0975387437208
"fourspot flounder",1989,40.1903171772076,-70.7601768358896
"fourspot flounder",1990,40.1406189021394,-70.7220517125929
"fourspot flounder",1991,40.0711036870719,-70.6550918454587
"fourspot flounder",1992,40.1428560732469,-70.9405712318677
"fourspot flounder",1993,40.2942676184469,-70.5754100310207
"fourspot flounder",1994,40.2301464195056,-70.3812577885471
"fourspot flounder",1995,40.164747346837,-70.5329278684503
"fourspot flounder",1996,40.0163473332749,-70.5633885552065
"fourspot flounder",1997,40.068940186939,-70.4523809152773
"fourspot flounder",1998,40.1579351482556,-70.4662849121237
"fourspot flounder",1999,39.7224272569532,-71.2734559559293
"fourspot flounder",2000,40.2596625629135,-70.5592557384222
"fourspot flounder",2001,40.3324101632347,-70.4628426217821
"fourspot flounder",2002,40.338229600761,-70.0872985909835
"fourspot flounder",2003,40.1987606486316,-70.0360374821657
"fourspot flounder",2004,39.9368233925926,-70.8714170580762
"fourspot flounder",2005,40.2661870045234,-70.5021259844913
"fourspot flounder",2006,40.1261056984734,-70.9307836873006
"fourspot flounder",2007,40.4598503439256,-68.618763385189
"fourspot flounder",2008,40.5110721445001,-69.5973334700847
"fourspot flounder",2009,40.0227813264174,-70.6455272853177
"fourspot flounder",2010,40.181573679785,-70.0716173230805
"fourspot flounder",2011,39.8830908354308,-70.6847621131605
"fourspot flounder",2012,40.1060531674624,-70.8714831428704
"fourspot flounder",2013,40.2474944163843,-69.5984599910505
"fourspot flounder",2014,40.0977896146473,-70.5682423682781
"fourspot flounder",2015,40.2397658072758,-70.0490423236559
"fourspot flounder",2016,39.7534648000669,-70.8510679296777
"fourspot flounder",2017,40.5512264992513,-68.6317802547559
"fourspot flounder",2018,40.0895284282118,-69.8446880682665
"fourspot flounder",2019,40.2851956630529,-69.5783002261828
"goosefish",1970,41.6167216156208,-69.7152614309078
"goosefish",1971,41.6731148537898,-69.8711107321257
"goosefish",1972,40.3939312168852,-71.2765867854811
"goosefish",1973,40.4643617837453,-70.5666761734606
"goosefish",1974,40.6473481351289,-70.7110434980748
"goosefish",1975,40.6448867930185,-70.556909947008
"goosefish",1976,39.176567845176,-72.0862627965153
"goosefish",1977,40.4190882928314,-70.9577562146901
"goosefish",1978,39.7417732903347,-71.4322974122755
"goosefish",1979,41.3254847299837,-70.0991598993838
"goosefish",1980,40.7980623015589,-70.7583417426475
"goosefish",1981,40.0692697097394,-71.2312607144211
"goosefish",1982,38.2970985658867,-73.3546476038025
"goosefish",1983,40.629194327674,-70.9314944933195
"goosefish",1984,40.8377350633572,-70.5608497049479
"goosefish",1985,40.656975326527,-70.49292659046
"goosefish",1986,40.3783653332425,-70.6462799471752
"goosefish",1987,41.072338834305,-70.135637156159
"goosefish",1988,40.7087077215099,-70.4445974681845
"goosefish",1989,41.0109557692248,-69.7477075711587
"goosefish",1990,40.9075667337404,-69.8150855033781
"goosefish",1991,40.7245955265946,-71.0053128461817
"goosefish",1992,42.0466815364913,-69.371285710886
"goosefish",1993,42.1329579456133,-69.0698087649848
"goosefish",1994,41.3473377966744,-69.7577141031359
"goosefish",1995,41.9379018914049,-69.2165095122758
"goosefish",1996,42.0076178278722,-69.4250724636716
"goosefish",1997,39.4233362591501,-71.705981097962
"goosefish",1998,40.8942809816445,-70.4085400445261
"goosefish",1999,39.9367910006462,-71.4269661386043
"goosefish",2000,42.3478729679999,-69.3662991467951
"goosefish",2001,42.0172584820847,-69.7789522331521
"goosefish",2002,41.8503862474468,-69.558422459938
"goosefish",2003,40.5917947723981,-70.3224240581336
"goosefish",2004,41.5239559700507,-69.3081426168832
"goosefish",2005,41.4406122387661,-69.2082637864126
"goosefish",2006,41.1978384713268,-68.6743360557614
"goosefish",2007,40.8746787306065,-70.3541303240217
"goosefish",2008,41.8102248618425,-69.7326205585234
"goosefish",2009,40.160401630975,-71.0024550153819
"goosefish",2010,41.29666368223,-70.1887225234486
"goosefish",2011,40.3590885845843,-70.8434271315822
"goosefish",2012,40.3834583483106,-71.1023373408043
"goosefish",2013,41.2759320712959,-69.6303035499016
"goosefish",2014,41.4588332533549,-70.0145188024551
"goosefish",2015,41.8782741711357,-69.2086625607267
"goosefish",2016,41.8159187777863,-69.5057325299057
"goosefish",2017,41.5774928471127,-68.3886877371362
"goosefish",2018,41.7675972280264,-68.7928711233753
"goosefish",2019,41.6822367088936,-69.1961856588009
"gulf stream flounder",1970,40.1847643873772,-70.775251859655
"gulf stream flounder",1971,40.0399210332788,-71.3591410664645
"gulf stream flounder",1972,40.5990049081033,-70.7363157698291
"gulf stream flounder",1973,40.4086596138871,-70.5193846050613
"gulf stream flounder",1974,40.578202330306,-70.7723465736422
"gulf stream flounder",1975,40.5758181517037,-69.7730239048845
"gulf stream flounder",1976,40.4993149833624,-70.3738557881744
"gulf stream flounder",1977,40.2559699154881,-70.4800083095084
"gulf stream flounder",1978,39.898163563425,-71.3040094886936
"gulf stream flounder",1979,40.1576654943872,-69.7544995903048
"gulf stream flounder",1980,40.1734729102144,-70.1279281805358
"gulf stream flounder",1981,39.6541283844228,-71.6191284351898
"gulf stream flounder",1982,40.1129022667361,-71.1566899368231
"gulf stream flounder",1983,40.3345475830838,-71.3226481441287
"gulf stream flounder",1984,40.4170338153679,-71.1367537017627
"gulf stream flounder",1985,40.0971852650489,-70.8601435072217
"gulf stream flounder",1986,40.34656086734,-71.2958543228997
"gulf stream flounder",1987,40.4381050609592,-70.7760936123607
"gulf stream flounder",1988,39.7867901955167,-71.5634782301321
"gulf stream flounder",1989,40.3620079898453,-70.1644075439065
"gulf stream flounder",1990,40.4248052130715,-69.7659685469917
"gulf stream flounder",1991,40.1948269581515,-70.5015774576466
"gulf stream flounder",1992,40.2440383262961,-70.3542855139383
"gulf stream flounder",1993,40.4200869437542,-70.6019610676714
"gulf stream flounder",1994,40.2688494362609,-71.2033881668061
"gulf stream flounder",1995,39.493187261333,-72.218429726206
"gulf stream flounder",1996,38.8893855769979,-72.6511287764481
